,price,Days on Market,Year Built,sqft,bed,bath,zipcode
26454,1175,,2004.0,708,1,1,78750
26455,1175,,2004.0,870,1,1,78750
26456,1130,,2004.0,655,1,1,78750
26457,1520,,2004.0,992,1,1,78750
26458,1555,,2004.0,992,1,1,78750
26459,1545,,2004.0,992,1,1,78750
26460,1160,,2004.0,754,1,1,78750
26461,1130,,2004.0,655,1,1,78750
26462,1165,,2004.0,708,1,1,78750
26463,1165,,2004.0,708,1,1,78750
26464,1125,,2004.0,985,1,1,78750
26466,1420,,2004.0,950,2,1,78750
26467,1545,,2004.0,950,2,1,78750
26468,1520,,2004.0,950,2,1,78750
26470,1771,,2004.0,1390,2,2,78750
26471,1685,,2004.0,1101,2,2,78750
26472,1651,,2004.0,1390,2,2,78750
26473,1761,,2004.0,1488,2,2,78750
26474,1616,,2004.0,1241,2,2,78750
26475,1836,,2004.0,1488,2,2,78750
26476,2236,,2004.0,1486,2,2,78750
26477,1761,,2004.0,1488,2,2,78750
26478,1616,,2004.0,1241,2,2,78750
26479,1576,,2004.0,1390,2,2,78750
26481,1945,,2004.0,1486,3,2,78750
26482,1795,,2004.0,1486,3,2,78750
26483,1870,,2004.0,1486,3,2,78750
26484,943,,,569,1,1,78753
26485,973,,,643,1,1,78753
26486,1050,,,772,1,1,78753
26487,1187,,,908,2,1,78753
26488,1300,,,1116,2,2,78753
26489,1515,,,1250,3,2,78753
26491,1450,44.0,1969.0,500,1,1,78704
26492,1450,44.0,1969.0,500,1,1,78704
26494,1625,44.0,1969.0,700,2,1,78704
26496,1185,10.0,2008.0,692,1,1,78748
26497,1095,10.0,2008.0,556,1,1,78748
26498,1185,10.0,2008.0,692,1,1,78748
26499,1160,10.0,2008.0,692,1,1,78748
26500,1287,10.0,2008.0,798,1,1,78748
26501,1225,10.0,2008.0,617,1,1,78748
26502,1287,10.0,2008.0,798,1,1,78748
26503,1165,10.0,2008.0,617,1,1,78748
26504,1372,10.0,2008.0,798,1,1,78748
26505,1225,10.0,2008.0,617,1,1,78748
26506,1120,10.0,2008.0,556,1,1,78748
26507,1287,10.0,2008.0,798,1,1,78748
26508,1312,10.0,2008.0,798,1,1,78748
26509,1312,10.0,2008.0,798,1,1,78748
26510,1185,10.0,2008.0,692,1,1,78748
26511,1160,10.0,2008.0,692,1,1,78748
26512,1185,10.0,2008.0,692,1,1,78748
26513,1095,10.0,2008.0,556,1,1,78748
26514,1120,10.0,2008.0,556,1,1,78748
26515,1095,10.0,2008.0,556,1,1,78748
26516,1372,10.0,2008.0,798,1,1,78748
26517,1095,10.0,2008.0,556,1,1,78748
26518,1180,10.0,2008.0,556,1,1,78748
26519,1312,10.0,2008.0,798,1,1,78748
26520,1195,10.0,2008.0,692,1,1,78748
26521,1129,10.0,2008.0,556,1,1,78748
26522,1331,10.0,2008.0,813,1,1,78748
26523,1331,10.0,2008.0,813,1,1,78748
26524,1331,10.0,2008.0,813,1,1,78748
26525,1331,10.0,2008.0,813,1,1,78748
26526,1391,10.0,2008.0,813,1,1,78748
26527,1331,10.0,2008.0,813,1,1,78748
26528,1331,10.0,2008.0,813,1,1,78748
26529,1331,10.0,2008.0,813,1,1,78748
26530,1331,10.0,2008.0,813,1,1,78748
26531,1331,10.0,2008.0,813,1,1,78748
26532,1306,10.0,2008.0,813,1,1,78748
26533,1331,10.0,2008.0,813,1,1,78748
26534,1331,10.0,2008.0,813,1,1,78748
26535,1331,10.0,2008.0,813,1,1,78748
26536,1331,10.0,2008.0,813,1,1,78748
26537,1331,10.0,2008.0,813,1,1,78748
26539,1420,10.0,2008.0,956,2,1,78748
26540,1395,10.0,2008.0,956,2,1,78748
26541,1395,10.0,2008.0,956,2,1,78748
26543,1617,10.0,2008.0,1181,2,2,78748
26544,1617,10.0,2008.0,1181,2,2,78748
26545,1617,10.0,2008.0,1181,2,2,78748
26546,1642,10.0,2008.0,1181,2,2,78748
26547,1592,10.0,2008.0,1181,2,2,78748
26548,1592,10.0,2008.0,1181,2,2,78748
26549,1617,10.0,2008.0,1181,2,2,78748
26550,1437,10.0,2008.0,1010,2,2,78748
26551,1437,10.0,2008.0,1010,2,2,78748
26552,1449,10.0,2008.0,1010,2,2,78748
26553,1509,10.0,2008.0,1010,2,2,78748
26554,1437,10.0,2008.0,1010,2,2,78748
26555,1497,10.0,2008.0,1010,2,2,78748
26556,1462,10.0,2008.0,1010,2,2,78748
26557,1572,10.0,2008.0,1084,2,2,78748
26558,1522,10.0,2008.0,1084,2,2,78748
26559,1522,10.0,2008.0,1084,2,2,78748
26560,1607,10.0,2008.0,1084,2,2,78748
26561,1522,10.0,2008.0,1084,2,2,78748
26562,1547,10.0,2008.0,1084,2,2,78748
26563,1607,10.0,2008.0,1084,2,2,78748
26565,1666,10.0,2008.0,1388,3,2,78748
26566,1691,10.0,2008.0,1388,3,2,78748
26568,850,30.0,,479,0,1,78753
26569,900,30.0,,479,0,1,78753
26570,849,30.0,,479,0,1,78753
26572,950,30.0,,544,1,1,78753
26573,999,30.0,,643,1,1,78753
26574,899,30.0,,524,1,1,78753
26575,899,30.0,,524,1,1,78753
26576,900,30.0,,524,1,1,78753
26577,1130,30.0,,643,1,1,78753
26578,950,30.0,,544,1,1,78753
26579,1130,30.0,,643,1,1,78753
26580,950,30.0,,544,1,1,78753
26582,1340,30.0,,816,2,1,78753
26583,1340,30.0,,816,2,1,78753
26585,988,,,727,1,1,78748
26586,998,,,727,1,1,78748
26587,1018,,,727,1,1,78748
26588,993,,,727,1,1,78748
26589,978,,,727,1,1,78748
